,name,address,icon,userComment,tags
346,Cam's Cakes,28 Place des Carmes Rouen France,supermarket,,Florian On Air#Pâtisseries#À faire
347,Quick Grill,"8 Rue Percière, 76000 Rouen, France",restaurant,,Florian On Air#💸#Snack#À faire
348,Ma Boulangerie,"6 Place du Vieux Marché, 76000 Rouen, France",restaurant,,Florian On Air#Boulangerie 🥖#🍴 inconnu#À faire
349,Nachos mexican grill - Vieux marché,"Rue du Gros Horloge, 76000 Rouen, France",restaurant,,Florian On Air#Hispanique#À faire
350,L'Oriflamme,"2 Place de la Visitation, 49100 Angers, France",restaurant,,Florian On Air#💸#Viande#À faire
351,La Rose Des Sables,"1 Rue du Bouffay, 44000 Nantes, France",restaurant,,Florian On Air#Grec 🥙#À faire
352,Boulangerie Chez Pascal,"46 Route du Cap Ferret, 33950 Lège-Cap-Ferret, France",shopping,,Florian On Air#Boulangerie 🥖#À faire
353,Le Raffiné,"34 Rue du Cardinal de Cabrières, 34000 Montpellier, France",restaurant,,Florian On Air#Grec 🥙#💸💸#À faire
354,Che Boludo Empanadas Argentinas,"10 Rue Boussairolles, 34000 Montpellier, France",restaurant,,Florian On Air#Hispanique#À faire
355,Croquants Villaret,13 Rue de la Madeleine 30000 Nîmes France,supermarket,,Florian On Air#À faire
356,Carré Gourmand,12 Rue de la Maison Carrée 30000 Nîmes France,restaurant,,Florian On Air#Grec 🥙#💸#À faire
357,Ouest Express Vaise,"41 Rue des Docks, 69009 Lyon, France",restaurant,,Florian On Air#À faire
358,La Casa Del Burger,"14 Allée des Cèdres, 69100 Villeurbanne, France",restaurant,,Florian On Air#Snack#À faire
359,Comedy Pizz,"59 Rue Trarieux, 69003 Lyon, France",restaurant,,Florian On Air#Snack#À faire
360,A.F.C,"14 Grande Rue de la Guillotière, 69007 Lyon, France",restaurant,,Florian On Air#Africain#À faire
361,Boulangerie Chez Jules Victor Hugo,"39 Rue Victor Hugo, 69002 Lyon, France",restaurant,,Florian On Air#Boulangerie 🥖#À faire
362,A La Marquise,"Maison du Chamarier, 37 Rue Saint-Jean, 69005 Lyon, France",restaurant,,Florian On Air#🍴 inconnu#Pâtisseries#À faire
363,100 Montaditos,"Calle San Fernando, 29 41004 Santa Cruz Seville Spain",restaurant,,Florian On Air#Hispanique#À faire
